source_id1,source_id2,ra1_deg,dec1_deg,s_kAU,dist_pc,Mtot_Msun,vc_kms,vt_raw,gamma_raw_deg,vt_corr,gamma_corr_deg,n_rv,rv_sys_kms,kappa_persp,sn_direction,sig_vt,ruwe1,ruwe2,Rchance_x1e3,dplx_over_sig,band_raw,band_corr,census_raw_sn3,census_corr
385375870598159744,385355362131635200,4.167510,43.100796,18.81,163.5,1.444,0.2609,1.6889,75.54,1.6871,75.78,2,3.42,0.0073,25.39,0.0665,1.468,1.052,0.7782,2.75,above,above,False,False
3437767763039822336,3437768175356669568,90.695931,30.274686,23.06,150.0,1.589,0.2472,1.6621,80.18,1.6746,77.95,2,21.95,0.0662,25.12,0.0662,1.026,1.008,5.3594,0.49,band,above,True,False
6433194293044757888,6433194159906020096,276.891573,-67.990360,34.22,188.9,1.528,0.1990,1.6080,84.64,1.6009,89.84,2,-33.00,-0.1456,25.64,0.0627,0.911,1.062,0.1045,0.15,band,band,True,True
4216240481043847552,4216240584123073664,304.450163,-7.429637,6.56,96.3,0.843,0.3378,1.6075,80.06,1.6075,80.06,2,0.00,0.0000,34.09,0.0472,1.483,1.160,1.4737,1.60,band,band,True,True
2766840648166985728,2766864184587766400,358.555821,12.649610,8.82,105.5,1.586,0.3994,1.5909,76.08,1.5902,76.19,2,3.01,0.0031,53.17,0.0299,0.886,1.010,0.1052,0.86,band,band,True,True
6221677259776777984,6269715266391844992,216.075040,-27.897210,39.55,59.1,0.907,0.1426,1.5807,76.71,1.5921,75.07,2,-2.06,-0.0468,23.91,0.0661,1.533,1.195,4.9511,0.60,band,band,True,True
620743651832022656,620743656127286528,143.650768,16.933728,7.26,159.5,1.635,0.4470,1.5476,82.66,1.5476,82.66,2,0.00,0.0000,34.08,0.0454,1.042,1.055,0.0128,1.24,band,band,True,True
5161969258595542528,5163469610930944768,52.753433,-11.451731,9.83,72.8,1.114,0.3171,1.5351,83.24,1.5410,81.59,2,21.65,0.0447,41.41,0.0371,1.070,1.120,4.2165,2.63,band,band,True,True
3213116023990320000,3213110152770628224,75.058610,-3.718069,8.39,118.7,1.921,0.4507,1.5305,81.49,1.5304,81.52,2,-1.12,-0.0009,61.94,0.0247,1.047,1.238,0.7259,0.81,band,band,True,True
4885245477787379200,4885245099830257920,66.134114,-29.213795,19.66,129.5,2.403,0.3292,1.5179,87.89,1.5184,87.42,2,55.51,0.1241,34.96,0.0434,0.965,0.909,6.0426,0.23,band,band,True,True
5006565006679943040,5006560505554219648,13.249140,-32.657880,44.40,99.1,1.854,0.1924,1.5102,77.02,1.4904,80.89,2,-9.15,-0.1033,21.83,0.0692,0.927,1.203,0.0070,1.56,band,band,True,True
6780097946848159872,6780098256085807232,312.524728,-33.245517,19.47,135.6,1.856,0.2907,1.4141,77.69,1.4043,79.68,2,20.87,0.0500,27.22,0.0519,1.009,0.983,0.0006,0.58,band,below,True,False
4325962979765837312,4325963117204360192,251.206232,-15.495483,9.07,70.0,1.368,0.3658,1.4069,89.05,1.4105,85.80,2,46.58,0.0800,63.20,0.0223,0.881,1.032,0.8364,0.10,below,below,False,False
4371249733407509120,4371250867279169792,266.920077,-0.601210,11.25,149.3,1.247,0.3136,1.4022,85.34,1.4022,85.34,2,0.00,0.0000,30.17,0.0465,0.946,1.192,4.4326,1.92,below,below,False,False
5433559037360770560,5433558663703021184,146.236558,-36.324598,16.42,180.1,1.284,0.2633,1.3841,78.65,1.3708,81.88,2,46.93,0.0788,21.75,0.0636,0.848,1.021,2.1272,0.60,below,below,False,False
4085343548738757504,4085343140739863296,285.620987,-20.383778,30.43,130.0,1.205,0.1874,1.3458,80.10,1.3258,89.63,2,-39.63,-0.2399,15.68,0.0858,1.083,1.073,1.2563,1.60,below,below,False,False
2210086889447815936,2210086820728340736,358.195101,67.231838,6.12,156.5,1.989,0.5367,1.3339,86.04,1.3339,86.06,2,1.26,0.0004,48.87,0.0273,0.943,1.168,2.5966,2.25,below,below,False,False
2255777610534133888,2255777507454919424,286.945202,66.964460,8.88,142.3,1.795,0.4236,1.2889,77.05,1.2785,79.26,2,-70.63,-0.0504,29.38,0.0439,1.709,1.097,0.0210,0.34,below,below,False,False
2968519839804245760,2968513959990529920,82.649829,-20.119827,7.72,131.1,1.467,0.4105,1.2633,86.55,1.2646,85.68,2,27.50,0.0191,42.49,0.0297,1.553,0.937,0.1131,1.17,below,below,False,False
362966384810896384,362966483595382912,13.981898,34.329185,13.16,162.4,1.441,0.3115,1.2602,75.46,1.2560,76.23,2,-13.69,-0.0173,32.32,0.0390,1.045,1.033,0.1954,0.22,below,below,False,False
5619782845027697536,5619876612756009600,110.545370,-21.527790,6.19,88.8,0.817,0.3420,1.2507,83.80,1.2507,83.80,2,0.00,0.0000,36.95,0.0339,1.079,1.038,2.0304,0.84,below,below,False,False
6013930103988473344,6013929932189780096,231.580980,-35.106641,9.39,117.8,1.512,0.3778,1.2330,80.42,1.2342,80.10,2,-6.79,-0.0070,25.18,0.0490,0.784,1.147,1.1719,0.30,below,below,False,False
4711108914988727808,4711108949348465152,23.316455,-64.867890,12.42,145.4,2.470,0.4200,1.2170,77.89,1.2138,78.62,2,-15.96,-0.0157,31.14,0.0391,1.117,1.025,0.4266,1.87,below,below,False,False
