# SIMBAD TAP cross-IDs fetched 2026-08-09
# unresolved: ['D564-8', 'D631-7', 'KK98-251']
# tap-errors: none
sparc_name,alias
ESO444-G084,[QPD2020] G133720.4-280252
ESO444-G084,LVHIS 056
ESO444-G084,HIPASS J1337-28
ESO444-G084,SINGG HIPASS J1337-28
ESO444-G084,HIDEEP J1337-2802
ESO444-G084,AM 1334-274
ESO444-G084,ESO 444-84
ESO444-G084,ESO-LV 444-0840
ESO444-G084,LEDA   48111
ESO444-G084,[DAM86] 105
ESO444-G084,[FG85] 401
ESO444-G084,[MI94] Im 133
ESO444-G084,[R84] A1-339
ESO444-G084,FLASH J133719.99-280242.0
ESO444-G084,RX J1335.9-3329
ESO444-G084,SGC 133432-2747.5
ESO444-G084,UKS 1334-27.7
ESO444-G084,TC E26
NGC1003,IRAS F02360+4039
NGC1003,IRAS 02360+4039
NGC1003,LEDA   10052
NGC1003,MCG+07-06-051
NGC1003,NGC  1003
NGC1003,TC 652
NGC1003,UGC  2137
NGC1003,Z 539-70
NGC1003,[BTW2003] J0239+4052
NGC1003,[MWI88] ACO 347 24
NGC1003,2MASX J02391689+4052202
NGC1003,UZC J023916.9+405219
NGC1003,Z 0236.1+4040
NGC1003,[CHM2007] HDC  155 J023916.89+4052202
NGC1003,[CHM2007] LDC  160 J023916.89+4052202
NGC1003,[M98c] 023606.1+403928
NGC1003,PSCz Q02360+4039
NGC1003,[TT2009] 4
UGC00891,Anon 0118+12
UGC00891,DDO  10
UGC00891,ESDO 611-07
UGC00891,LEDA    4913
UGC00891,MCG+02-04-030
UGC00891,TC 437
UGC00891,UGC   891
UGC00891,Z 436-33
UGC00891,[MI94] Sm   9
UGC00891,Z 0118.6+1209
UGC02259,Gaia DR3 141745396923605504
UGC02259,Anon 0244+37
UGC02259,KPG  77a
UGC02259,LEDA   10586
UGC02259,MCG+06-07-009
UGC02259,TC  42
UGC02259,UGC  2259
UGC02259,Z 524-20
UGC02259,[BTW2003] J0247+3736
UGC02259,2MASX J02475539+3732183
UGC02259,UZC J024755.5+373218
UGC02259,Z 0244.8+3720
UGC02259,[M98c] 024447.9+371950
