name,leg,fgas,cov,theta,d_boot,d_p065,d_gm,abs_share,sd2_share,flag
CamB,anch,0.3205,-1.4621,90.2409,1.9197,1.4624,1.0797,0.0111,0.0025,
D564-8,anch,0.5514,-1.8724,23.9352,1.3069,1.0775,0.6921,0.0076,0.0003,census-pending
D631-7,anch,0.7845,-1.4098,36.0697,-5.4869,-4.4910,-3.3396,0.0317,0.0194,census-pending
DDO154,anch,0.8984,-1.4955,50.5451,2.7151,1.4418,1.6873,0.0157,0.0095,
DDO168,anch,0.7793,-1.0690,39.7970,-5.7876,-3.6890,-3.3969,0.0335,0.0213,
ESO444-G084,anch,0.7571,-1.1285,11.1033,0.0822,-0.1599,0.0947,0.0005,0.0000,
ESO563-G021,anch,0.0211,-0.1972,7.5653,-4.7514,-2.0263,-2.2266,0.0275,0.0007,
IC2574,anch,0.3841,-1.5160,44.8402,12.4631,9.6259,8.8452,0.0721,0.3664,
NGC0024,anch,0.0732,-0.4072,27.1253,1.3735,0.2747,0.4898,0.0079,0.0008,
NGC0055,anch,0.6009,-1.0005,179.8709,-1.0364,-1.0452,-1.0734,0.0060,0.0008,
NGC0247,anch,0.2922,-1.0770,60.2071,-2.2071,-1.3122,-1.5940,0.0128,0.0030,
NGC0300,anch,0.1107,-1.0217,134.8656,0.0529,-0.1932,0.0184,0.0003,0.0002,
NGC0891,anch,0.0126,0.1117,19.1487,12.2238,6.5648,5.1754,0.0707,0.2288,
NGC2403,anch,0.0747,-0.3228,16.9712,0.6707,0.1973,0.9207,0.0039,0.0014,
NGC2683,anch,0.0455,-0.6577,60.7651,4.2396,1.9717,2.4554,0.0245,0.0251,
NGC2841,anch,0.0723,-0.0175,50.3228,3.6413,1.4654,2.6931,0.0211,0.0007,
NGC2903,anch,0.0466,-0.1995,30.0022,6.3203,3.4273,2.5113,0.0365,0.0117,
NGC2915,anch,0.5558,-1.6415,152.9206,-1.8257,-1.0563,-1.1192,0.0106,0.0002,
NGC2976,anch,0.1110,-0.2759,29.9603,3.6285,1.7947,2.1874,0.0210,0.0211,
NGC3109,anch,0.7107,-1.5418,80.6450,3.0730,1.7822,2.5261,0.0178,0.0309,
NGC3198,anch,0.0640,-0.5529,33.4807,5.0639,3.0260,2.1668,0.0293,0.0010,
NGC3726,anch,0.1182,-0.4316,40.1071,-1.4167,-1.0013,-0.8945,0.0082,0.0043,
NGC3741,anch,0.8531,-1.7675,44.9799,1.4941,0.0648,1.1087,0.0086,0.0020,
NGC3769,anch,0.2546,-0.8492,40.1071,0.2936,0.4261,0.1465,0.0017,0.0000,
NGC3877,anch,0.0326,-0.0953,29.9084,-1.1731,-0.7567,-0.5615,0.0068,0.0000,
NGC3893,anch,0.1365,-0.2788,19.9389,2.5300,1.4267,1.1396,0.0146,0.0045,
NGC3917,anch,0.0726,-0.6541,19.9389,0.9824,0.4351,0.4399,0.0057,0.0009,
NGC3949,anch,0.0426,0.2069,19.9389,0.3616,0.2610,0.1570,0.0021,0.0000,
NGC3953,anch,0.0073,0.0094,40.1071,-0.2868,-0.5011,-0.1248,0.0017,0.0010,
NGC3972,anch,0.0814,-0.4832,19.9389,0.0757,0.0305,-0.0165,0.0004,0.0001,
NGC3992,anch,0.1133,-0.5507,79.9821,2.6044,0.7772,1.3648,0.0151,0.0076,
NGC4010,anch,0.1518,-0.5755,40.1071,-0.0803,0.0330,-0.0020,0.0005,0.0000,
NGC4013,anch,0.0732,-0.6931,62.9108,-3.4795,-3.1764,-2.5849,0.0201,0.0288,
NGC4051,anch,0.0313,-0.1432,40.1071,-0.0624,-0.1387,-0.0598,0.0004,0.0000,
NGC4068,anch,0.4365,-1.0201,69.8563,0.1638,0.0359,0.0427,0.0009,0.0000,
NGC4085,anch,0.0364,-0.0162,19.9389,-0.2027,0.0977,-0.1164,0.0012,0.0000,
NGC4088,anch,0.1072,-0.1506,40.1071,-0.2414,-0.2601,-0.2244,0.0014,0.0003,
NGC4100,anch,0.0679,-0.4875,29.9084,4.0447,1.5059,2.1043,0.0234,0.0120,
NGC4138,anch,0.0277,-0.0544,29.9084,1.4496,0.5708,0.7142,0.0084,0.0029,
NGC4157,anch,0.1402,-0.4550,40.1071,-0.5276,-0.4555,-0.4489,0.0031,0.0025,
NGC4183,anch,0.3745,-0.9039,29.9084,1.0142,0.7225,0.3434,0.0059,0.0038,
NGC4217,anch,0.0303,0.0012,19.9389,-4.5980,-1.9845,-5.3054,0.0266,0.0059,
NGC4559,anch,0.2717,-0.8081,60.0460,0.4508,-0.0100,-0.2436,0.0026,0.0006,
NGC5005,anch,0.0701,0.5615,11.9609,3.5645,1.1892,1.5284,0.0206,0.0121,
NGC5055,anch,0.0932,-0.3495,29.7938,6.8976,3.1827,2.8758,0.0399,0.0047,
NGC5585,anch,0.0777,-0.7847,7.5962,0.1607,-0.0341,1.0219,0.0009,0.0061,
NGC5907,anch,0.1570,-0.6623,59.9718,4.9637,0.3540,2.7024,0.0287,0.0636,
NGC6503,anch,0.2483,-1.1010,50.0835,-1.9357,-0.5613,-1.6921,0.0112,0.0245,
NGC6789,anch,0.3700,-0.6814,29.8850,0.1705,0.1785,0.1320,0.0010,0.0000,
NGC6946,anch,0.0780,-0.2022,7.0997,4.6002,2.3322,2.6233,0.0266,0.0039,
NGC7331,anch,0.0757,-0.1890,37.4645,3.6887,1.7880,0.5869,0.0213,0.0041,
NGC7793,anch,0.1054,-0.2633,49.7093,1.4245,0.9252,0.8186,0.0082,0.0026,
NGC7814,anch,0.0093,-0.1716,9.0241,6.5930,3.7875,2.6831,0.0381,0.0025,
UGC01281,anch,0.6573,-1.3884,120.1582,0.0038,-0.0154,0.0220,0.0000,0.0000,
UGC02487,anch,0.0392,-0.5756,29.6413,5.5626,2.3590,3.6214,0.0322,0.0078,
UGC04483,anch,0.7568,-1.1979,24.7024,-0.6938,-0.4257,-0.6206,0.0040,0.0001,
UGC05918,anch,0.5364,-1.5545,75.1279,0.2648,0.1964,0.1135,0.0015,0.0000,
UGC05986,anch,0.1880,-0.6977,15.0576,-1.1049,-0.3341,-0.3898,0.0064,0.0000,
UGC06399,anch,0.3100,-1.0639,29.9084,-0.1112,-0.0721,-0.1107,0.0006,0.0000,
UGC06667,anch,0.6689,-1.4336,19.9389,-4.5020,-2.9966,-2.8257,0.0260,0.0174,
UGC06818,anch,0.2810,-1.1833,40.1071,0.2961,0.1295,0.2014,0.0017,0.0001,
UGC06917,anch,0.1746,-0.8813,19.9389,-0.3227,-0.1763,-0.2470,0.0019,0.0004,
UGC06923,anch,0.3207,-0.7593,32.8878,0.0915,0.0321,0.0266,0.0005,0.0000,
UGC06930,anch,0.3452,-0.9768,40.1071,-0.3435,-0.1578,-0.3356,0.0020,0.0000,
UGC06983,anch,0.3816,-1.0569,29.9084,-0.3130,-0.1537,-0.4238,0.0018,0.0000,
UGC07089,anch,0.2667,-1.0522,29.9084,0.8254,0.4053,0.4788,0.0048,0.0001,
UGC07151,anch,0.2438,-0.7857,15.0120,-0.6705,-0.4887,-0.5786,0.0039,0.0005,
UGC07232,anch,0.2990,-0.6978,45.1888,0.0753,0.1069,0.0717,0.0004,0.0000,
UGC07323,anch,0.1396,-0.7906,45.1205,0.9177,0.4804,0.5507,0.0053,0.0005,
UGC07524,anch,0.4154,-1.2388,74.8472,-3.2401,-1.9893,-2.3141,0.0187,0.0066,
UGC07603,anch,0.4271,-1.0311,29.8426,0.5178,0.1259,0.3880,0.0030,0.0001,
UGC08286,anch,0.3747,-1.0686,30.1464,-1.6072,-0.6301,-1.2019,0.0093,0.0013,
UGC08490,anch,0.5399,-1.2152,15.0817,1.6771,1.2928,0.7277,0.0097,0.0004,
UGC08550,anch,0.3768,-1.3670,15.0851,-1.3592,-0.6116,-1.2058,0.0079,0.0037,
UGC08837,anch,0.4443,-1.1719,44.9148,1.5830,1.0810,0.6776,0.0092,0.0052,
UGC12632,anch,0.4213,-1.3708,45.1798,-3.3097,-1.8122,-2.2846,0.0191,0.0040,
UGCA442,anch,0.8326,-1.2947,59.7457,-1.5804,-1.4364,-0.9975,0.0091,0.0041,
UGCA444,anch,0.9486,-1.2291,265.1979,-0.5782,-0.3520,-0.4364,0.0033,0.0005,
