source_id,ruwe,non_single_star,radial_velocity,radial_velocity_error,rv_nb_transits,rv_renormalised_gof,rv_chisq_pvalue,rv_amplitude_robust,rv_template_teff,phot_g_mean_mag
401262031210472192,1.002587,0,18.98274,3.7641196,21,,,,3600.0,14.88949
420186481756802304,0.95866126,0,,,,,,,,8.925358
427408726965844352,1.0063868,0,-7.3555026,0.97157615,24,,,,4500.0,13.0813
439319598985602304,1.1030713,0,0.039300475,8.817134,10,,,,3200.0,15.079033
498103613771414528,0.898163,0,14.601886,0.28144187,22,0.9862085,0.18091759,3.5171585,5750.0,10.349591
554372083395152512,1.0826304,0,,,,,,,,13.691353
560049480405555456,1.0840808,0,-13.197239,9.276333,12,,,,3600.0,15.427876
569809948203170176,1.1161584,0,3.8301332,0.64789486,21,0.48305154,0.28831404,9.720158,4500.0,12.740192
76733752567219328,1.1250865,0,-32.97372,1.2783195,16,1.0628028,0.16508578,16.455679,4500.0,12.605345
83756951808944128,1.2385199,0,24.225462,2.0077114,14,,,,3800.0,13.620646
87111905382846976,1.2372977,0,-9.280218,0.6326832,11,0.5209669,0.22280319,5.4098177,4750.0,11.371038
105004842216905344,1.0285375,0,28.374744,0.36574966,16,0.16927059,0.3732185,4.503479,4250.0,11.342271
293202062790569984,1.1368431,0,52.029995,16.02717,15,39.408592,0.0,190.2511,3900.0,13.1993885
312844906740246912,0.9170178,0,15.845257,0.21685898,17,2.1260264,0.0011203145,2.4546566,5000.0,9.786652
153741760270606464,0.87567115,0,60.43242,0.23897439,30,0.63250256,0.1288891,3.2129097,5000.0,10.848608
179245207355823232,0.90196306,0,7.8653173,2.466078,15,11.069129,0.0,24.388922,4750.0,10.481513
184425006635992192,0.81285167,0,30.736555,0.76832914,16,6.119706,7.5495166E-15,6.7948456,7000.0,8.178479
138999542724521728,1.891112,0,24.308878,1.8942045,3,1.1280227,0.12448119,5.1917343,3800.0,12.292258
